Time,tAtm,Prec,rSoil,rRoot,hCritA,rB,hB,ht,RootDepth
1,1,0.007415000000000001,0.027000000000000003,0.084,100000,0,0,0,0
2,2,0.02576,0.0135,0.095,100000,0,0,0,0
3,3,0.037846,0.0264,0.1,100000,0,0,0,0
4,4,0.019780000000000002,0.0038,0.09699999999999999,100000,0,0,0,0
5,5,0.015946000000000002,0.0008,0.09699999999999999,100000,0,0,0,0
6,6,0.27209099999999997,0.0,0.035,100000,0,0,0,0
7,7,0.351975,0.0,0.022000000000000002,100000,0,0,0,0
8,8,1.518459,0.0,0.004,100000,0,0,0,0
9,9,0.074883,0.0,0.032,100000,0,0,0,0
10,10,0.024161000000000002,0.0,0.046,100000,0,0,0,0
11,11,0.004357,0.0,0.08,100000,0,0,0,0
12,12,0.035098000000000004,0.0,0.064,100000,0,0,0,0
13,13,0.13783099999999998,0.0157,0.078,100000,0,0,0,0
14,14,0.596547,0.0153,0.037000000000000005,100000,0,0,0,0
15,15,0.010464,0.0213,0.08900000000000001,100000,0,0,0,0
16,16,0.011498,0.0156,0.10800000000000001,100000,0,0,0,0
17,17,0.21324400000000002,0.0164,0.105,100000,0,0,0,0
18,18,1.2008889999999999,0.0159,0.03,100000,0,0,0,0
19,19,0.125,0.0174,0.059000000000000004,100000,0,0,0,0
20,20,0.0021079999999999996,0.0191,0.105,100000,0,0,0,0
21,21,0.022556,0.0338,0.134,100000,0,0,0,0
22,22,0.0,0.0176,0.145,100000,0,0,0,0
23,23,0.48218999999999995,0.0172,0.017,100000,0,0,0,0
24,24,0.043876,0.0347,0.053,100000,0,0,0,0
25,25,0.006816,0.0081,0.071,100000,0,0,0,0
26,26,0.008998,0.0176,0.07,100000,0,0,0,0
27,27,0.46933800000000003,0.0169,0.015,100000,0,0,0,0
28,28,0.007781999999999999,0.0,0.059000000000000004,100000,0,0,0,0
29,29,0.022796,0.0231,0.08900000000000001,100000,0,0,0,0
30,30,0.008773999999999999,0.0172,0.11800000000000001,100000,0,0,0,0
31,31,1.5090000000000001,0.0,0.008,100000,0,0,0,0
32,32,1.128141,0.0,0.001,100000,0,0,0,0
33,33,0.6426810000000001,0.0,0.055999999999999994,100000,0,0,0,0
34,34,0.170378,0.0336,0.032,100000,0,0,0,0
35,35,0.107846,0.0826,0.09,100000,0,0,0,0
36,36,0.029218,0.1024,0.127,100000,0,0,0,0
37,37,0.178558,0.1268,0.129,100000,0,0,0,0
38,38,0.024038,0.0972,0.152,100000,0,0,0,0
39,39,0.051774,0.1549,0.124,100000,0,0,0,0
40,40,0.039896,0.066,0.096,100000,0,0,0,0
41,41,0.027188,0.0491,0.14300000000000002,100000,0,0,0,0
42,42,0.577767,0.0329,0.066,100000,0,0,0,0
43,43,2.368602,0.016,0.005,100000,0,0,0,0
44,44,0.6758430000000001,0.0177,0.049,100000,0,0,0,0
45,45,0.041343,0.0865,0.092,100000,0,0,0,0
46,46,0.297154,0.1102,0.092,100000,0,0,0,0
47,47,0.07437200000000001,0.1209,0.078,100000,0,0,0,0
48,48,0.02717,0.1159,0.11800000000000001,100000,0,0,0,0
49,49,0.455176,0.1159,0.079,100000,0,0,0,0
50,50,0.051349,0.1596,0.051,100000,0,0,0,0
51,51,0.022681,0.0851,0.135,100000,0,0,0,0
52,52,0.010484,0.0492,0.18100000000000002,100000,0,0,0,0
53,53,0.299291,0.0503,0.091,100000,0,0,0,0
54,54,0.511931,0.0346,0.039,100000,0,0,0,0
55,55,0.006670999999999999,0.018000000000000002,0.129,100000,0,0,0,0
56,56,0.008429,0.0179,0.146,100000,0,0,0,0
57,57,0.66101,0.0,0.153,100000,0,0,0,0
58,58,2.14702,0.0,0.131,100000,0,0,0,0
59,59,0.029838999999999997,0.0,0.09,100000,0,0,0,0
60,60,0.433949,0.0,0.034,100000,0,0,0,0
61,61,0.418228,0.001,0.061,100000,0,0,0,0
62,62,0.07200000000000001,0.036000000000000004,0.018000000000000002,100000,0,0,0,0
63,63,0.487015,0.0439,0.065,100000,0,0,0,0
64,64,0.11995399999999999,0.0437,0.079,100000,0,0,0,0
65,65,0.227064,0.0671,0.066,100000,0,0,0,0
66,66,0.333336,0.0663,0.068,100000,0,0,0,0
67,67,0.060038,0.0676,0.08800000000000001,100000,0,0,0,0
68,68,0.196197,0.0676,0.095,100000,0,0,0,0
69,69,0.086634,0.0468,0.09,100000,0,0,0,0
70,70,2.293565,0.0678,0.012,100000,0,0,0,0
71,71,0.563149,0.0691,0.10400000000000001,100000,0,0,0,0
72,72,0.572415,0.2124,0.055999999999999994,100000,0,0,0,0
73,73,0.35920100000000005,0.2479,0.08900000000000001,100000,0,0,0,0
74,74,0.534881,0.2076,0.08,100000,0,0,0,0
75,75,0.696146,0.2043,0.081,100000,0,0,0,0
76,76,0.689688,0.2403,0.081,100000,0,0,0,0
77,77,0.16072899999999998,0.1858,0.15,100000,0,0,0,0
78,78,0.726346,0.168,0.063,100000,0,0,0,0
79,79,0.8315629999999999,0.1722,0.099,100000,0,0,0,0
80,80,0.64881,0.1526,0.054000000000000006,100000,0,0,0,0
81,81,0.517745,0.198,0.02,100000,0,0,0,0
82,82,0.06454700000000001,0.3667,0.09300000000000001,100000,0,0,0,0
83,83,0.033711,0.2915,0.159,100000,0,0,0,0
84,84,0.03464,0.2204,0.184,100000,0,0,0,0
85,85,0.023801,0.1564,0.17300000000000001,100000,0,0,0,0
