 ******* Program HYDRUS
 ******* Infiltration and drainage in a large caisson                            
 Date:   1. 1.    Time: ***: 0:**
 Units: L = cm   , T = min  , M = mmol 

 CosAlf,MaxIt,TolTh,  TolH
 1.000   10   0.001 1.00000

 TopInF,BotInF,AtmBC,SinkF,WLayer,qGWLF,FreeD,SeepF,lWat,lChem,lTemp,lRoot,lWDep
     F     F     F     F     F     F     F     F     T     F     F     F     F

Nodal point information

node      x         hOld    MatN LayN  Beta      Ah       AK      ATh     Temp    Conc(1...NS)         Sorb(1...NS)

   1      0.000      0.342    1    1   0.000    1.000    1.000    1.000
   2     -0.100      0.342    1    1   0.000    1.000    1.000    1.000
   3     -0.200      0.342    1    1   0.000    1.000    1.000    1.000
   4     -0.300      0.342    1    1   0.000    1.000    1.000    1.000
   5     -0.400      0.342    2    1   0.000    1.000    1.000    1.000
   6     -0.500      0.342    2    1   0.000    1.000    1.000    1.000
   7     -0.600      0.342    2    1   0.000    1.000    1.000    1.000
   8     -0.700      0.342    2    1   0.000    1.000    1.000    1.000
   9     -0.800      0.342    2    1   0.000    1.000    1.000    1.000
  10     -0.900      0.342    2    1   0.000    1.000    1.000    1.000
  11     -1.000      0.342    2    1   0.000    1.000    1.000    1.000
end

 Number of species in the chain :   0


MatNum, Param. array:

   Mat     Qr     Qs        Alfa         n          Ks      l

    1    0.080  0.342   0.300E-01   0.500E+01   0.100E+01 -0.500
    2    0.080  0.342   0.300E-01   0.500E+01   0.100E+00 -0.500

       Table of Hydraulic Properties which are interpolated in simulation
       =================================================================

  theta         h        log h        C             K        log K          S          Kv

  0.3421  -0.100E-05 -0.6000E+01  0.0000E+00  0.1000E+01  0.0000E+00    1.0000  0.0000E+00
  0.3421  -0.126E-05 -0.5899E+01  0.0000E+00  0.1000E+01  0.0000E+00    1.0000  0.0000E+00
  0.3421  -0.159E-05 -0.5798E+01  0.0000E+00  0.1000E+01  0.0000E+00    1.0000  0.0000E+00
  0.3421  -0.201E-05 -0.5697E+01  0.0000E+00  0.1000E+01  0.0000E+00    1.0000  0.0000E+00
  0.3421  -0.254E-05 -0.5596E+01  0.0000E+00  0.1000E+01  0.0000E+00    1.0000  0.0000E+00
  0.3421  -0.320E-05 -0.5495E+01  0.0000E+00  0.1000E+01  0.0000E+00    1.0000  0.0000E+00
  0.3421  -0.404E-05 -0.5394E+01  0.0000E+00  0.1000E+01  0.0000E+00    1.0000  0.0000E+00
  0.3421  -0.509E-05 -0.5293E+01  0.0000E+00  0.1000E+01  0.0000E+00    1.0000  0.0000E+00
  0.3421  -0.643E-05 -0.5192E+01  0.0000E+00  0.1000E+01  0.0000E+00    1.0000  0.0000E+00
  0.3421  -0.811E-05 -0.5091E+01  0.0000E+00  0.1000E+01  0.0000E+00    1.0000  0.0000E+00
  0.3421  -0.102E-04 -0.4990E+01  0.0000E+00  0.1000E+01  0.0000E+00    1.0000  0.0000E+00
  0.3421  -0.129E-04 -0.4889E+01  0.0000E+00  0.1000E+01  0.0000E+00    1.0000  0.0000E+00
  0.3421  -0.163E-04 -0.4788E+01  0.0000E+00  0.1000E+01  0.0000E+00    1.0000  0.0000E+00
