 ******* Program HYDRUS
 ******* Infiltration and drainage in a large caisson                            
 Date:   1. 1.    Time: ***: 0:**
 Units: L = cm   , T = min  , M = mmol 


    n      depth     THr       THs       hs       Ks        Ks/KsTop     Beta      Ah        AK        ATh

    1      0.00     0.080     0.342      -0.0   0.100E+01     1.000     0.000     1.000     1.000     1.000
    2      0.10     0.080     0.342      -0.0   0.100E+01     1.000     0.000     1.000     1.000     1.000
    3      0.20     0.080     0.342      -0.0   0.100E+01     1.000     0.000     1.000     1.000     1.000
    4      0.30     0.080     0.342      -0.0   0.100E+01     1.000     0.000     1.000     1.000     1.000
    5      0.40     0.080     0.342      -0.0   0.100E+00     0.100     0.000     1.000     1.000     1.000
    6      0.50     0.080     0.342      -0.0   0.100E+00     0.100     0.000     1.000     1.000     1.000
    7      0.60     0.080     0.342      -0.0   0.100E+00     0.100     0.000     1.000     1.000     1.000
    8      0.70     0.080     0.342      -0.0   0.100E+00     0.100     0.000     1.000     1.000     1.000
    9      0.80     0.080     0.342      -0.0   0.100E+00     0.100     0.000     1.000     1.000     1.000
   10      0.90     0.080     0.342      -0.0   0.100E+00     0.100     0.000     1.000     1.000     1.000
   11      1.00     0.080     0.342      -0.0   0.100E+00     0.100     0.000     1.000     1.000     1.000
end
