 ******* Program HYDRUS
 ******* Infiltration and drainage in a large caisson                            
 Date:   1. 1.    Time: ***: 0:**
 Units: L = cm   , T = min  , M = mmol 


    TLevel      Time          dt      Iter    ItCum  KodT  KodB  Convergency

        6  0.9100000E+02  0.25000E+00    2       12    -1     1     T
        9  0.9200000E+02  0.37500E+00    2       18    -1     1     T
       11  0.9300000E+02  0.50000E+00    2       22    -1     1     T
       13  0.9400000E+02  0.50000E+00    2       26    -1     1     T
       15  0.9500000E+02  0.50000E+00    2       30    -1     1     T
       17  0.9600000E+02  0.50000E+00    2       34    -1     1     T
       19  0.9700000E+02  0.50000E+00    2       38    -1     1     T
       21  0.9800000E+02  0.50000E+00    2       42    -1     1     T
       23  0.9900000E+02  0.50000E+00    2       46    -1     1     T
       25  0.1000000E+03  0.50000E+00    2       50    -1     1     T
       27  0.1010000E+03  0.50000E+00    2       54    -1     1     T
       29  0.1020000E+03  0.50000E+00    2       58    -1     1     T
       31  0.1030000E+03  0.50000E+00    2       62    -1     1     T
       33  0.1040000E+03  0.50000E+00    2       66    -1     1     T
       35  0.1050000E+03  0.50000E+00    2       70    -1     1     T
       37  0.1060000E+03  0.50000E+00    2       74    -1     1     T
       39  0.1070000E+03  0.50000E+00    2       78    -1     1     T
       41  0.1080000E+03  0.50000E+00    2       82    -1     1     T
       43  0.1090000E+03  0.50000E+00    2       86    -1     1     T
       45  0.1100000E+03  0.50000E+00    2       90    -1     1     T
       47  0.1110000E+03  0.50000E+00    2       94    -1     1     T
       49  0.1120000E+03  0.50000E+00    2       98    -1     1     T
       51  0.1130000E+03  0.50000E+00    2      102    -1     1     T
       53  0.1140000E+03  0.50000E+00    2      106    -1     1     T
       55  0.1150000E+03  0.50000E+00    2      110    -1     1     T
       57  0.1160000E+03  0.50000E+00    2      114    -1     1     T
       59  0.1170000E+03  0.50000E+00    2      118    -1     1     T
       61  0.1180000E+03  0.50000E+00    2      122    -1     1     T
       63  0.1190000E+03  0.50000E+00    2      126    -1     1     T
       65  0.1200000E+03  0.50000E+00    2      130    -1     1     T
       67  0.1210000E+03  0.50000E+00    2      134    -1     1     T
       69  0.1220000E+03  0.50000E+00    2      138    -1     1     T
       71  0.1230000E+03  0.50000E+00    2      142    -1     1     T
       73  0.1240000E+03  0.50000E+00    2      146    -1     1     T
       75  0.1250000E+03  0.50000E+00    2      150    -1     1     T
       77  0.1260000E+03  0.50000E+00    2      154    -1     1     T
       79  0.1270000E+03  0.50000E+00    2      158    -1     1     T
       81  0.1280000E+03  0.50000E+00    2      162    -1     1     T
       83  0.1290000E+03  0.50000E+00    2      166    -1     1     T
       85  0.1300000E+03  0.50000E+00    2      170    -1     1     T
       87  0.1310000E+03  0.50000E+00    2      174    -1     1     T
       89  0.1320000E+03  0.50000E+00    2      178    -1     1     T
       91  0.1330000E+03  0.50000E+00    2      182    -1     1     T
       93  0.1340000E+03  0.50000E+00    2      186    -1     1     T
       95  0.1350000E+03  0.50000E+00    2      190    -1     1     T
       97  0.1360000E+03  0.50000E+00    2      194    -1     1     T
       99  0.1370000E+03  0.50000E+00    2      198    -1     1     T
      101  0.1380000E+03  0.50000E+00    2      202    -1     1     T
      103  0.1390000E+03  0.50000E+00    2      206    -1     1     T
      105  0.1400000E+03  0.50000E+00    2      210    -1     1     T
      107  0.1410000E+03  0.50000E+00    2      214    -1     1     T
      109  0.1420000E+03  0.50000E+00    2      218    -1     1     T
      111  0.1430000E+03  0.50000E+00    2      222    -1     1     T
      113  0.1440000E+03  0.50000E+00    2      226    -1     1     T
      115  0.1450000E+03  0.50000E+00    2      230    -1     1     T
      117  0.1460000E+03  0.50000E+00    2      234    -1     1     T
      119  0.1470000E+03  0.50000E+00    2      238    -1     1     T
      121  0.1480000E+03  0.50000E+00    2      242    -1     1     T
      123  0.1490000E+03  0.50000E+00    2      246    -1     1     T
      125  0.1500000E+03  0.50000E+00    2      250    -1     1     T
      127  0.1510000E+03  0.50000E+00    2      254    -1     1     T
      129  0.1520000E+03  0.50000E+00    2      258    -1     1     T
      131  0.1530000E+03  0.50000E+00    2      262    -1     1     T
      133  0.1540000E+03  0.50000E+00    2      266    -1     1     T
      135  0.1550000E+03  0.50000E+00    2      270    -1     1     T
      137  0.1560000E+03  0.50000E+00    2      274    -1     1     T
      139  0.1570000E+03  0.50000E+00    2      278    -1     1     T
