 ******* Program HYDRUS
 ******* Infiltration and drainage in a large caisson                            
 Date:   1. 1.    Time: ***: 0:**
 Units: L = cm   , T = min  , M = mmol 

       Time          rTop        rRoot        vTop         vRoot        vBot       sum(rTop)   sum(rRoot)    sum(vTop)   sum(vRoot)    sum(vBot)      hTop         hRoot        hBot        RunOff    sum(RunOff)     Volume     sum(Infil)    sum(Evap) TLevel Cum(WTrans)  SnowLayer
        [T]         [L/T]        [L/T]        [L/T]        [L/T]        [L/T]         [L]          [L]          [L]         [L]           [L]         [L]           [L]         [L]          [L/T]         [L]          [L]          [L]          [L]

      91.0000  0.00000E+00  0.00000E+00  0.23842E-06  0.00000E+00 -0.19073E-06  0.00000E+00  0.00000E+00  0.23842E-06  0.00000E+00 -0.13709E-06 -0.65800E+00  0.00000E+00  0.34200E+00  0.00000E+00  0.00000E+00  0.34210E+00  0.00000E+00  0.23842E-06      6  0.00000E+00      0.000
      92.0000  0.00000E+00  0.00000E+00  0.23842E-06  0.00000E+00 -0.19073E-06  0.00000E+00  0.00000E+00  0.47684E-06  0.00000E+00 -0.32783E-06 -0.65800E+00  0.00000E+00  0.34200E+00  0.00000E+00  0.00000E+00  0.34210E+00  0.00000E+00  0.47684E-06      9  0.00000E+00      0.000
      93.0000  0.00000E+00  0.00000E+00  0.23842E-06  0.00000E+00 -0.19073E-06  0.00000E+00  0.00000E+00  0.71526E-06  0.00000E+00 -0.51856E-06 -0.65800E+00  0.00000E+00  0.34200E+00  0.00000E+00  0.00000E+00  0.34210E+00  0.00000E+00  0.71526E-06     11  0.00000E+00      0.000
      94.0000  0.00000E+00  0.00000E+00  0.23842E-06  0.00000E+00 -0.19073E-06  0.00000E+00  0.00000E+00  0.95367E-06  0.00000E+00 -0.70930E-06 -0.65800E+00  0.00000E+00  0.34200E+00  0.00000E+00  0.00000E+00  0.34210E+00  0.00000E+00  0.95367E-06     13  0.00000E+00      0.000
      95.0000  0.00000E+00  0.00000E+00  0.23842E-06  0.00000E+00 -0.19073E-06  0.00000E+00  0.00000E+00  0.11921E-05  0.00000E+00 -0.90003E-06 -0.65800E+00  0.00000E+00  0.34200E+00  0.00000E+00  0.00000E+00  0.34210E+00  0.00000E+00  0.11921E-05     15  0.00000E+00      0.000
      96.0000  0.00000E+00  0.00000E+00  0.23842E-06  0.00000E+00 -0.19073E-06  0.00000E+00  0.00000E+00  0.14305E-05  0.00000E+00 -0.10908E-05 -0.65800E+00  0.00000E+00  0.34200E+00  0.00000E+00  0.00000E+00  0.34210E+00  0.00000E+00  0.14305E-05     17  0.00000E+00      0.000
      97.0000  0.00000E+00  0.00000E+00  0.23842E-06  0.00000E+00 -0.19073E-06  0.00000E+00  0.00000E+00  0.16689E-05  0.00000E+00 -0.12815E-05 -0.65800E+00  0.00000E+00  0.34200E+00  0.00000E+00  0.00000E+00  0.34210E+00  0.00000E+00  0.16689E-05     19  0.00000E+00      0.000
      98.0000  0.00000E+00  0.00000E+00  0.23842E-06  0.00000E+00 -0.19073E-06  0.00000E+00  0.00000E+00  0.19073E-05  0.00000E+00 -0.14722E-05 -0.65800E+00  0.00000E+00  0.34200E+00  0.00000E+00  0.00000E+00  0.34210E+00  0.00000E+00  0.19073E-05     21  0.00000E+00      0.000
      99.0000  0.00000E+00  0.00000E+00  0.23842E-06  0.00000E+00 -0.19073E-06  0.00000E+00  0.00000E+00  0.21458E-05  0.00000E+00 -0.16630E-05 -0.65800E+00  0.00000E+00  0.34200E+00  0.00000E+00  0.00000E+00  0.34210E+00  0.00000E+00  0.21458E-05     23  0.00000E+00      0.000
     100.0000  0.00000E+00  0.00000E+00  0.23842E-06  0.00000E+00 -0.19073E-06  0.00000E+00  0.00000E+00  0.23842E-05  0.00000E+00 -0.18537E-05 -0.65800E+00  0.00000E+00  0.34200E+00  0.00000E+00  0.00000E+00  0.34210E+00  0.00000E+00  0.23842E-05     25  0.00000E+00      0.000
     101.0000  0.00000E+00  0.00000E+00  0.23842E-06  0.00000E+00 -0.19073E-06  0.00000E+00  0.00000E+00  0.26226E-05  0.00000E+00 -0.20444E-05 -0.65800E+00  0.00000E+00  0.34200E+00  0.00000E+00  0.00000E+00  0.34210E+00  0.00000E+00  0.26226E-05     27  0.00000E+00      0.000
     102.0000  0.00000E+00  0.00000E+00  0.23842E-06  0.00000E+00 -0.19073E-06  0.00000E+00  0.00000E+00  0.28610E-05  0.00000E+00 -0.22352E-05 -0.65800E+00  0.00000E+00  0.34200E+00  0.00000E+00  0.00000E+00  0.34210E+00  0.00000E+00  0.28610E-05     29  0.00000E+00      0.000
     103.0000  0.00000E+00  0.00000E+00  0.23842E-06  0.00000E+00 -0.19073E-06  0.00000E+00  0.00000E+00  0.30994E-05  0.00000E+00 -0.24259E-05 -0.65800E+00  0.00000E+00  0.34200E+00  0.00000E+00  0.00000E+00  0.34210E+00  0.00000E+00  0.30994E-05     31  0.00000E+00      0.000
     104.0000  0.00000E+00  0.00000E+00  0.23842E-06  0.00000E+00 -0.19073E-06  0.00000E+00  0.00000E+00  0.33379E-05  0.00000E+00 -0.26166E-05 -0.65800E+00  0.00000E+00  0.34200E+00  0.00000E+00  0.00000E+00  0.34210E+00  0.00000E+00  0.33379E-05     33  0.00000E+00      0.000
     105.0000  0.00000E+00  0.00000E+00  0.23842E-06  0.00000E+00 -0.19073E-06  0.00000E+00  0.00000E+00  0.35763E-05  0.00000E+00 -0.28074E-05 -0.65800E+00  0.00000E+00  0.34200E+00  0.00000E+00  0.00000E+00  0.34210E+00  0.00000E+00  0.35763E-05     35  0.00000E+00      0.000
     106.0000  0.00000E+00  0.00000E+00  0.23842E-06  0.00000E+00 -0.19073E-06  0.00000E+00  0.00000E+00  0.38147E-05  0.00000E+00 -0.29981E-05 -0.65800E+00  0.00000E+00  0.34200E+00  0.00000E+00  0.00000E+00  0.34210E+00  0.00000E+00  0.38147E-05     37  0.00000E+00      0.000
     107.0000  0.00000E+00  0.00000E+00  0.23842E-06  0.00000E+00 -0.19073E-06  0.00000E+00  0.00000E+00  0.40531E-05  0.00000E+00 -0.31888E-05 -0.65800E+00  0.00000E+00  0.34200E+00  0.00000E+00  0.00000E+00  0.34210E+00  0.00000E+00  0.40531E-05     39  0.00000E+00      0.000
     108.0000  0.00000E+00  0.00000E+00  0.23842E-06  0.00000E+00 -0.19073E-06  0.00000E+00  0.00000E+00  0.42915E-05  0.00000E+00 -0.33796E-05 -0.65800E+00  0.00000E+00  0.34200E+00  0.00000E+00  0.00000E+00  0.34210E+00  0.00000E+00  0.42915E-05     41  0.00000E+00      0.000
     109.0000  0.00000E+00  0.00000E+00  0.23842E-06  0.00000E+00 -0.19073E-06  0.00000E+00  0.00000E+00  0.45300E-05  0.00000E+00 -0.35703E-05 -0.65800E+00  0.00000E+00  0.34200E+00  0.00000E+00  0.00000E+00  0.34210E+00  0.00000E+00  0.45300E-05     43  0.00000E+00      0.000
     110.0000  0.00000E+00  0.00000E+00  0.23842E-06  0.00000E+00 -0.19073E-06  0.00000E+00  0.00000E+00  0.47684E-05  0.00000E+00 -0.37611E-05 -0.65800E+00  0.00000E+00  0.34200E+00  0.00000E+00  0.00000E+00  0.34210E+00  0.00000E+00  0.47684E-05     45  0.00000E+00      0.000
     111.0000  0.00000E+00  0.00000E+00  0.23842E-06  0.00000E+00 -0.19073E-06  0.00000E+00  0.00000E+00  0.50068E-05  0.00000E+00 -0.39518E-05 -0.65800E+00  0.00000E+00  0.34200E+00  0.00000E+00  0.00000E+00  0.34210E+00  0.00000E+00  0.50068E-05     47  0.00000E+00      0.000
     112.0000  0.00000E+00  0.00000E+00  0.23842E-06  0.00000E+00 -0.19073E-06  0.00000E+00  0.00000E+00  0.52452E-05  0.00000E+00 -0.41425E-05 -0.65800E+00  0.00000E+00  0.34200E+00  0.00000E+00  0.00000E+00  0.34210E+00  0.00000E+00  0.52452E-05     49  0.00000E+00      0.000
     113.0000  0.00000E+00  0.00000E+00  0.23842E-06  0.00000E+00 -0.19073E-06  0.00000E+00  0.00000E+00  0.54836E-05  0.00000E+00 -0.43333E-05 -0.65800E+00  0.00000E+00  0.34200E+00  0.00000E+00  0.00000E+00  0.34210E+00  0.00000E+00  0.54836E-05     51  0.00000E+00      0.000
     114.0000  0.00000E+00  0.00000E+00  0.23842E-06  0.00000E+00 -0.19073E-06  0.00000E+00  0.00000E+00  0.57220E-05  0.00000E+00 -0.45240E-05 -0.65800E+00  0.00000E+00  0.34200E+00  0.00000E+00  0.00000E+00  0.34210E+00  0.00000E+00  0.57220E-05     53  0.00000E+00      0.000
     115.0000  0.00000E+00  0.00000E+00  0.23842E-06  0.00000E+00 -0.19073E-06  0.00000E+00  0.00000E+00  0.59605E-05  0.00000E+00 -0.47147E-05 -0.65800E+00  0.00000E+00  0.34200E+00  0.00000E+00  0.00000E+00  0.34210E+00  0.00000E+00  0.59605E-05     55  0.00000E+00      0.000
     116.0000  0.00000E+00  0.00000E+00  0.23842E-06  0.00000E+00 -0.19073E-06  0.00000E+00  0.00000E+00  0.61989E-05  0.00000E+00 -0.49055E-05 -0.65800E+00  0.00000E+00  0.34200E+00  0.00000E+00  0.00000E+00  0.34210E+00  0.00000E+00  0.61989E-05     57  0.00000E+00      0.000
     117.0000  0.00000E+00  0.00000E+00  0.23842E-06  0.00000E+00 -0.19073E-06  0.00000E+00  0.00000E+00  0.64373E-05  0.00000E+00 -0.50962E-05 -0.65800E+00  0.00000E+00  0.34200E+00  0.00000E+00  0.00000E+00  0.34210E+00  0.00000E+00  0.64373E-05     59  0.00000E+00      0.000
