

   Time         sum(rTop)     sum(rRoot)    sum(vTop)     sum(vRoot)     sum(vBot)    hTop       hRoot      hBot      A-level
    [T]           [L]           [L]           [L]           [L]            [L]        [L]         [L]       [L] 

     1.00000 -0.510000E+00  0.146450E-01 -0.510000E+00  0.146450E-01 -0.819222E-02   -269.806   -402.661   -500.000       1
     2.00000 -0.530000E+00  0.330700E-01 -0.530001E+00  0.330700E-01 -0.163844E-01   -365.289   -402.010   -500.000       2
     3.00000 -0.496056E+00  0.643960E-01 -0.496138E+00  0.643960E-01 -0.245770E-01   -426.363   -423.994   -499.980       3
     4.00000 -0.496056E+00  0.918790E-01 -0.496106E+00  0.918790E-01 -0.327730E-01   -438.785   -437.800   -499.836       4
     5.00000 -0.462478E+00  0.114391E+00 -0.462466E+00  0.114391E+00 -0.409796E-01   -480.006   -455.808   -499.480       5
     6.00000 -0.425347E+00  0.142181E+00 -0.425467E+00  0.142181E+00 -0.492140E-01   -512.753   -473.010   -498.767       6
     7.00000 -0.363988E+00  0.162007E+00 -0.363909E+00  0.162007E+00 -0.574845E-01   -575.859   -498.430   -497.843       7
     8.00000 -0.318183E+00  0.179222E+00 -0.318038E+00  0.179222E+00 -0.657949E-01   -599.566   -517.090   -496.744       8
     9.00000 -0.277535E+00  0.202088E+00 -0.277532E+00  0.202088E+00 -0.741473E-01   -621.335   -533.165   -495.570       9
    10.00000 -0.219581E+00  0.223838E+00 -0.219550E+00  0.223838E+00 -0.825413E-01   -686.353   -557.453   -494.424      10
    11.00000 -0.169124E+00  0.267209E+00 -0.169633E+00  0.267209E+00 -0.909747E-01   -723.220   -578.141   -493.371      11
    12.00000 -0.169124E+00  0.336740E+00 -0.170287E+00  0.336740E+00 -0.994405E-01   -664.764   -585.881   -492.500      12
    13.00000 -0.122451E+00  0.367016E+00 -0.122633E+00  0.367016E+00 -0.107927E+00   -793.317   -625.200   -491.872      13
    14.00000 -0.721331E-01  0.399647E+00 -0.723735E-01  0.399647E+00 -0.116425E+00   -872.735   -650.378   -491.542      14
    15.00000 -0.121308E-02  0.417441E+00 -0.108255E-02  0.417441E+00 -0.124924E+00  -1073.482   -690.773   -491.526      15
    16.00000  0.511129E-01  0.436466E+00  0.512127E-01  0.436466E+00 -0.133411E+00  -1111.242   -714.362   -491.853      16
    17.00000  0.101479E+00  0.463071E+00  0.101389E+00  0.463071E+00 -0.141877E+00  -1180.998   -739.357   -492.498      17
    18.00000  0.101479E+00  0.502830E+00  0.101060E+00  0.502830E+00 -0.150307E+00   -951.311   -734.053   -493.422      18
    19.00000 -0.268521E+00  0.536019E+00 -0.268938E+00  0.536019E+00 -0.158716E+00   -380.642   -591.274   -494.514      19
    20.00000 -0.268521E+00  0.536019E+00 -0.268730E+00  0.536019E+00 -0.167076E+00   -533.948   -579.381   -495.895      20
    21.00000 -0.217245E+00  0.580189E+00 -0.217823E+00  0.580189E+00 -0.175371E+00   -655.865   -603.056   -497.547      21
    22.00000 -0.347245E+00  0.594202E+00 -0.347815E+00  0.594202E+00 -0.183615E+00   -466.893   -564.458   -499.348      22
    23.00000 -0.222725E+01  0.594202E+00 -0.222781E+01  0.594202E+00 -0.191793E+00   -141.006   -265.704   -501.314      23
    24.00000 -0.317724E+01  0.613531E+00 -0.317782E+01  0.613531E+00 -0.199895E+00   -154.425   -202.185   -503.395      24
    25.00000 -0.315876E+01  0.642187E+00 -0.315939E+01  0.642187E+00 -0.207917E+00   -230.275   -235.786   -505.397      25
    26.00000 -0.313475E+01  0.665492E+00 -0.313533E+01  0.665492E+00 -0.215905E+00   -263.969   -262.170   -505.547      26
    27.00000 -0.308900E+01  0.691639E+00 -0.308962E+01  0.691639E+00 -0.223971E+00   -295.347   -285.316   -502.054      27
