 ******* Program HYDRUS
 ******* None                                                                    
 Date:   0.**.    Time: ***:**:**
 Units: L = cm   , T = days , M = mmol 



                               Node( 31)

         time         h        theta    Temp   
          1.0000     -493.69  0.1261   20.000
          2.0000     -464.47  0.1303   20.000
          3.0000     -451.94  0.1323   20.000
          4.0000     -451.91  0.1323   20.000
          5.0000     -455.40  0.1318   20.000
          6.0000     -461.20  0.1309   20.000
          7.0000     -468.43  0.1297   20.000
          8.0000     -476.59  0.1284   20.000
          9.0000     -485.45  0.1271   20.000
         10.0000     -495.82  0.1259   20.000
         11.0000     -506.35  0.1247   20.000
         12.0000     -517.44  0.1235   20.000
         13.0000     -529.97  0.1221   20.000
         14.0000     -540.59  0.1209   20.000
         15.0000     -551.07  0.1197   20.000
         16.0000     -560.88  0.1186   20.000
         17.0000     -570.47  0.1176   20.000
         18.0000     -580.29  0.1165   20.000
         19.0000     -589.81  0.1154   20.000
         20.0000     -589.20  0.1155   20.000
         21.0000     -584.23  0.1161   20.000
         22.0000     -579.62  0.1166   20.000
         23.0000     -504.93  0.1249   20.000
         24.0000     -291.15  0.1645   20.000
         25.0000     -269.21  0.1712   20.000
         26.0000     -279.59  0.1680   20.000
         27.0000     -292.58  0.1641   20.000
         28.0000     -304.68  0.1604   20.000
         29.0000     -317.41  0.1576   20.000
         30.0000     -332.28  0.1543   20.000
         31.0000     -345.68  0.1514   20.000
         32.0000     -356.56  0.1490   20.000
         33.0000     -369.33  0.1462   20.000
         34.0000     -379.60  0.1439   20.000
         35.0000     -391.73  0.1417   20.000
         36.0000     -406.08  0.1395   20.000
         37.0000     -418.86  0.1375   20.000
         38.0000     -426.42  0.1363   20.000
         39.0000     -427.50  0.1361   20.000
         40.0000     -430.12  0.1357   20.000
         41.0000     -435.35  0.1349   20.000
         42.0000     -442.94  0.1337   20.000
         43.0000     -443.81  0.1336   20.000
         44.0000     -337.84  0.1531   20.000
         45.0000     -282.25  0.1673   20.000
         46.0000     -287.22  0.1657   20.000
         47.0000     -297.18  0.1627   20.000
         48.0000     -308.13  0.1596   20.000
         49.0000     -319.84  0.1570   20.000
         50.0000     -329.87  0.1548   20.000
         51.0000     -342.15  0.1521   20.000
         52.0000     -354.68  0.1494   20.000
         53.0000     -367.96  0.1465   20.000
         54.0000     -381.36  0.1436   20.000
         55.0000     -394.06  0.1413   20.000
         56.0000     -403.80  0.1398   20.000
         57.0000     -393.77  0.1414   20.000
         58.0000     -363.89  0.1474   20.000
         59.0000     -357.88  0.1487   20.000
         60.0000     -361.74  0.1479   20.000
         61.0000     -364.97  0.1471   20.000
         62.0000     -364.69  0.1472   20.000
         63.0000     -371.46  0.1457   20.000
         64.0000     -385.40  0.1427   20.000
         65.0000     -400.64  0.1403   20.000
         66.0000     -417.82  0.1376   20.000
         67.0000     -345.47  0.1514   20.000
         68.0000     -263.04  0.1731   20.000
         69.0000     -272.43  0.1702   20.000
         70.0000     -288.07  0.1654   20.000
         71.0000     -305.51  0.1602   20.000
         72.0000     -326.92  0.1555   20.000
         73.0000     -346.24  0.1512   20.000
         74.0000     -366.40  0.1468   20.000
         75.0000     -385.77  0.1426   20.000
         76.0000     -405.86  0.1395   20.000
         77.0000     -424.31  0.1366   20.000
         78.0000     -260.93  0.1737   20.000
         79.0000     -177.68  0.2084   20.000
         80.0000     -190.24  0.2013   20.000
         81.0000     -211.13  0.1923   20.000
         82.0000     -217.40  0.1897   20.000
         83.0000     -153.06  0.2225   20.000
         84.0000     -159.59  0.2187   20.000
         85.0000     -177.11  0.2088   20.000
         86.0000     -191.75  0.2004   20.000
         87.0000     -207.02  0.1940   20.000
         88.0000     -220.69  0.1883   20.000
         89.0000     -232.82  0.1832   20.000
         90.0000     -242.63  0.1792   20.000
         91.0000     -249.71  0.1771   20.000
         92.0000     -259.23  0.1742   20.000
         93.0000     -270.02  0.1709   20.000
         94.0000     -273.44  0.1699   20.000
         95.0000     -280.43  0.1678   20.000
         96.0000     -295.76  0.1632   20.000
         97.0000     -310.99  0.1589   20.000
         98.0000     -321.03  0.1568   20.000
         99.0000     -334.30  0.1539   20.000
        100.0000     -351.26  0.1502   20.000
        101.0000     -369.63  0.1461   20.000
        102.0000     -390.17  0.1419   20.000
        103.0000     -411.61  0.1386   20.000
        104.0000     -433.93  0.1351   20.000
        105.0000     -456.01  0.1317   20.000
        106.0000     -478.77  0.1281   20.000
        107.0000     -501.58  0.1252   20.000
        108.0000     -524.26  0.1227   20.000
        109.0000     -539.07  0.1211   20.000
        110.0000     -558.88  0.1189   20.000
        111.0000     -579.70  0.1166   20.000
        112.0000     -600.18  0.1143   20.000
        113.0000     -621.50  0.1122   20.000
        114.0000     -643.53  0.1104   20.000
        115.0000     -662.45  0.1089   20.000
        116.0000     -682.14  0.1074   20.000
        117.0000     -702.94  0.1058   20.000
        118.0000     -724.35  0.1041   20.000
        119.0000     -744.02  0.1025   20.000
        120.0000     -763.17  0.1010   20.000
        121.0000     -780.03  0.0998   20.000
        122.0000     -797.50  0.0989   20.000
        123.0000     -815.62  0.0978   20.000
        124.0000     -825.45  0.0973   20.000
        125.0000     -713.99  0.1049   20.000
        126.0000     -589.50  0.1155   20.000
        127.0000     -568.42  0.1178   20.000
        128.0000     -574.74  0.1171   20.000
        129.0000     -585.36  0.1159   20.000
        130.0000     -604.99  0.1138   20.000
        131.0000     -639.13  0.1108   20.000
        132.0000     -667.55  0.1085   20.000
        133.0000     -639.62  0.1107   20.000
        134.0000     -626.95  0.1118   20.000
        135.0000     -600.25  0.1143   20.000
        136.0000     -437.71  0.1346   20.000
        137.0000     -422.03  0.1370   20.000
        138.0000     -437.63  0.1345   20.000
        139.0000     -469.63  0.1296   20.000
        140.0000     -501.10  0.1253   20.000
        141.0000     -512.60  0.1240   20.000
        142.0000     -537.40  0.1213   20.000
        143.0000     -563.63  0.1183   20.000
        144.0000     -595.61  0.1148   20.000
        145.0000     -637.40  0.1109   20.000
        146.0000     -680.79  0.1075   20.000
        147.0000     -719.30  0.1045   20.000
        148.0000     -752.11  0.1019   20.000
        149.0000     -775.85  0.1001   20.000
        150.0000     -426.94  0.1363   20.000
        151.0000     -388.46  0.1423   20.000
        152.0000     -421.17  0.1372   20.000
        153.0000     -454.31  0.1319   20.000
        154.0000     -485.78  0.1270   20.000
        155.0000     -521.43  0.1230   20.000
        156.0000     -431.90  0.1354   20.000
        157.0000     -285.11  0.1665   20.000
        158.0000     -301.12  0.1615   20.000
        159.0000     -331.88  0.1544   20.000
        160.0000     -364.35  0.1473   20.000
        161.0000     -403.74  0.1398   20.000
        162.0000     -445.12  0.1333   20.000
        163.0000     -484.29  0.1272   20.000
        164.0000     -512.74  0.1240   20.000
        165.0000     -545.08  0.1204   20.000
        166.0000     -581.69  0.1163   20.000
        167.0000     -623.71  0.1120   20.000
        168.0000     -666.24  0.1087   20.000
        169.0000     -703.55  0.1057   20.000
        170.0000     -739.78  0.1029   20.000
        171.0000     -777.68  0.1000   20.000
        172.0000     -815.60  0.0978   20.000
        173.0000     -850.29  0.0959   20.000
        174.0000     -872.83  0.0947   20.000
        175.0000     -901.14  0.0931   20.000
        176.0000     -932.26  0.0914   20.000
        177.0000     -950.03  0.0904   20.000
        178.0000     -962.71  0.0897   20.000
        179.0000     -985.07  0.0886   20.000
        180.0000    -1009.01  0.0876   20.000
        181.0000    -1033.12  0.0867   20.000
        182.0000    -1061.35  0.0856   20.000
        183.0000    -1085.92  0.0846   20.000
        184.0000    -1109.67  0.0837   20.000
        185.0000    -1112.68  0.0836   20.000
        186.0000     -979.24  0.0888   20.000
        187.0000     -779.09  0.1000   20.000
        188.0000     -753.48  0.1018   20.000
        189.0000     -782.32  0.0997   20.000
        190.0000     -826.50  0.0972   20.000
        191.0000     -430.75  0.1356   20.000
        192.0000     -311.47  0.1589   20.000
        193.0000     -340.68  0.1525   20.000
        194.0000     -378.33  0.1442   20.000
        195.0000     -429.00  0.1359   20.000
        196.0000     -480.02  0.1279   20.000
        197.0000     -534.47  0.1216   20.000
        198.0000     -587.61  0.1157   20.000
        199.0000     -641.36  0.1106   20.000
        200.0000     -692.47  0.1066   20.000
        201.0000     -739.47  0.1029   20.000
        202.0000     -788.50  0.0994   20.000
        203.0000     -833.75  0.0968   20.000
        204.0000     -874.52  0.0946   20.000
        205.0000     -908.35  0.0927   20.000
        206.0000     -944.42  0.0907   20.000
        207.0000     -982.50  0.0887   20.000
        208.0000    -1017.57  0.0873   20.000
        209.0000    -1049.79  0.0860   20.000
        210.0000    -1074.67  0.0850   20.000
        211.0000    -1082.09  0.0848   20.000
        212.0000     -399.45  0.1405   20.000
        213.0000     -414.87  0.1381   20.000
        214.0000     -458.07  0.1313   20.000
        215.0000     -476.92  0.1284   20.000
        216.0000     -462.13  0.1309   20.000
        217.0000     -486.76  0.1271   20.000
        218.0000     -531.95  0.1219   20.000
        219.0000     -577.10  0.1168   20.000
        220.0000     -621.94  0.1121   20.000
        221.0000     -662.43  0.1089   20.000
        222.0000     -692.17  0.1066   20.000
        223.0000     -704.31  0.1057   20.000
        224.0000     -640.90  0.1106   20.000
        225.0000     -618.32  0.1124   20.000
        226.0000     -648.29  0.1101   20.000
        227.0000     -690.34  0.1067   20.000
        228.0000     -736.21  0.1031   20.000
        229.0000     -780.91  0.0998   20.000
        230.0000     -791.99  0.0991   20.000
        231.0000     -758.47  0.1014   20.000
        232.0000     -707.63  0.1054   20.000
        233.0000     -484.34  0.1274   20.000
        234.0000     -340.32  0.1526   20.000
        235.0000     -228.73  0.1850   20.000
        236.0000     -240.58  0.1801   20.000
        237.0000     -272.14  0.1702   20.000
        238.0000     -302.87  0.1610   20.000
        239.0000     -339.76  0.1527   20.000
        240.0000     -368.27  0.1464   20.000
        241.0000     -354.09  0.1495   20.000
        242.0000     -279.79  0.1680   20.000
        243.0000     -268.82  0.1713   20.000
        244.0000     -286.23  0.1660   20.000
        245.0000     -308.16  0.1596   20.000
        246.0000     -336.49  0.1534   20.000
        247.0000     -261.06  0.1736   20.000
        248.0000     -222.85  0.1875   20.000
        249.0000     -221.82  0.1879   20.000
        250.0000     -143.15  0.2298   20.000
        251.0000     -157.70  0.2199   20.000
        252.0000     -180.64  0.2067   20.000
        253.0000     -201.18  0.1965   20.000
        254.0000     -220.40  0.1885   20.000
        255.0000     -236.63  0.1817   20.000
        256.0000     -254.64  0.1756   20.000
        257.0000     -273.00  0.1700   20.000
        258.0000     -289.86  0.1649   20.000
        259.0000     -304.52  0.1604   20.000
        260.0000     -322.15  0.1565   20.000
        261.0000     -164.04  0.2163   20.000
        262.0000     -162.72  0.2170   20.000
        263.0000     -184.31  0.2047   20.000
        264.0000     -204.62  0.1951   20.000
        265.0000     -222.55  0.1875   20.000
        266.0000     -238.43  0.1809   20.000
        267.0000     -253.97  0.1758   20.000
        268.0000     -269.10  0.1712   20.000
        269.0000     -281.47  0.1674   20.000
        270.0000     -236.21  0.1819   20.000
        271.0000     -130.41  0.2395   20.000
        272.0000     -144.92  0.2284   20.000
        273.0000     -166.95  0.2145   20.000
        274.0000     -184.22  0.2047   20.000
        275.0000     -199.59  0.1972   20.000
        276.0000     -212.36  0.1917   20.000
        277.0000     -223.36  0.1872   20.000
        278.0000     -226.11  0.1861   20.000
        279.0000     -222.60  0.1875   20.000
        280.0000     -227.80  0.1854   20.000
        281.0000     -238.77  0.1808   20.000
        282.0000     -251.06  0.1767   20.000
        283.0000     -261.54  0.1735   20.000
        284.0000     -270.55  0.1707   20.000
        285.0000     -280.63  0.1677   20.000
        286.0000     -289.38  0.1650   20.000
        287.0000     -299.65  0.1619   20.000
        288.0000     -311.16  0.1589   20.000
        289.0000     -322.78  0.1564   20.000
        290.0000     -334.32  0.1538   20.000
        291.0000     -330.17  0.1547   20.000
        292.0000     -304.87  0.1604   20.000
        293.0000     -300.86  0.1615   20.000
        294.0000     -299.66  0.1619   20.000
        295.0000     -264.70  0.1725   20.000
        296.0000     -207.41  0.1939   20.000
