 ******* Program HYDRUS
 ******* None                                                                    
 Date:   0.**.    Time: ***:**:**
 Units: L = cm   , T = days , M = mmol 


    TLevel      Time          dt      Iter    ItCum  KodT  KodB  Convergency

       14  0.1000000E+01  0.20873E+00    3       30    -4    -5     T
       27  0.2000000E+01  0.21151E+00    2       56    -4    -5     T
       30  0.3000000E+01  0.37500E+00    2       62    -4    -5     T
       32  0.4000000E+01  0.66667E+00    2       66    -4    -5     T
       34  0.5000000E+01  0.50000E+00    2       70    -4    -5     T
       35  0.6000000E+01  0.10000E+01    2       72    -4    -5     T
       36  0.7000000E+01  0.10000E+01    3       75    -4    -5     T
       37  0.8000000E+01  0.10000E+01    3       78    -4    -5     T
       38  0.9000000E+01  0.10000E+01    2       80    -4    -5     T
       39  0.1000000E+02  0.10000E+01    3       83    -4    -5     T
       40  0.1100000E+02  0.10000E+01    2       85    -4    -5     T
       41  0.1200000E+02  0.10000E+01    2       87    -4    -5     T
       42  0.1300000E+02  0.10000E+01    3       90    -4    -5     T
       43  0.1400000E+02  0.10000E+01    3       93    -4    -5     T
       44  0.1500000E+02  0.10000E+01    4       97    -4    -5     T
       45  0.1600000E+02  0.10000E+01    3      100    -4    -5     T
       46  0.1700000E+02  0.10000E+01    2      102    -4    -5     T
       47  0.1800000E+02  0.10000E+01    3      105    -4    -5     T
       60  0.1900000E+02  0.21151E+00    3      138    -4    -5     T
       64  0.2000000E+02  0.25000E+00    2      148    -4    -5     T
       66  0.2100000E+02  0.66667E+00    2      152    -4    -5     T
       79  0.2200000E+02  0.21151E+00    2      178    -4    -5     T
       99  0.2300000E+02  0.13143E+00    4      249    -4    -5     T
      112  0.2400000E+02  0.21151E+00    3      278    -4    -5     T
      116  0.2500000E+02  0.25000E+00    2      289    -4    -5     T
      118  0.2600000E+02  0.66667E+00    3      294    -4    -5     T
      120  0.2700000E+02  0.50000E+00    2      298    -4    -5     T
      121  0.2800000E+02  0.10000E+01    3      301    -4    -5     T
      122  0.2900000E+02  0.10000E+01    2      303    -4    -5     T
      123  0.3000000E+02  0.10000E+01    3      306    -4    -5     T
      124  0.3100000E+02  0.10000E+01    3      309    -4    -5     T
      125  0.3200000E+02  0.10000E+01    3      312    -4    -5     T
      126  0.3300000E+02  0.10000E+01    3      315    -4    -5     T
      127  0.3400000E+02  0.10000E+01    2      317    -4    -5     T
      128  0.3500000E+02  0.10000E+01    3      320    -4    -5     T
      129  0.3600000E+02  0.10000E+01    3      323    -4    -5     T
      142  0.3700000E+02  0.21151E+00    2      349    -4    -5     T
      155  0.3800000E+02  0.21151E+00    2      375    -4    -5     T
      158  0.3900000E+02  0.37500E+00    2      382    -4    -5     T
      171  0.4000000E+02  0.21151E+00    2      408    -4    -5     T
      174  0.4100000E+02  0.37500E+00    2      414    -4    -5     T
      176  0.4200000E+02  0.66667E+00    2      418    -4    -5     T
      190  0.4300000E+02  0.20873E+00    4      455    -4    -5     T
      205  0.4400000E+02  0.13915E+00    3      495    -4    -5     T
      209  0.4500000E+02  0.25000E+00    2      509    -4    -5     T
      222  0.4600000E+02  0.21151E+00    2      535    -4    -5     T
      225  0.4700000E+02  0.37500E+00    2      541    -4    -5     T
      227  0.4800000E+02  0.66667E+00    2      545    -4    -5     T
      229  0.4900000E+02  0.50000E+00    2      549    -4    -5     T
      230  0.5000000E+02  0.10000E+01    2      551    -4    -5     T
      231  0.5100000E+02  0.10000E+01    3      554    -4    -5     T
      232  0.5200000E+02  0.10000E+01    2      556    -4    -5     T
      233  0.5300000E+02  0.10000E+01    2      558    -4    -5     T
      234  0.5400000E+02  0.10000E+01    2      560    -4    -5     T
      235  0.5500000E+02  0.10000E+01    2      562    -4    -5     T
      248  0.5600000E+02  0.21151E+00    2      588    -4    -5     T
      262  0.5700000E+02  0.20873E+00    3      625    -4    -5     T
      266  0.5800000E+02  0.25000E+00    2      635    -4    -5     T
      279  0.5900000E+02  0.21151E+00    2      661    -4    -5     T
      282  0.6000000E+02  0.37500E+00    2      667    -4    -5     T
      295  0.6100000E+02  0.21151E+00    2      693    -4    -5     T
      298  0.6200000E+02  0.37500E+00    2      700    -4    -5     T
      300  0.6300000E+02  0.66667E+00    3      705    -4    -5     T
      302  0.6400000E+02  0.50000E+00    2      710    -4    -5     T
      303  0.6500000E+02  0.10000E+01    3      713    -4    -5     T
      304  0.6600000E+02  0.10000E+01    3      716    -4    -5     T
      327  0.6700000E+02  0.93529E-01    3      798    -4    -5     T
      333  0.6800000E+02  0.19048E+00    2      817    -4    -5     T
      336  0.6900000E+02  0.33333E+00    2      823    -4    -5     T
      338  0.7000000E+02  0.50000E+00    2      827    -4    -5     T
      340  0.7100000E+02  0.50000E+00    2      831    -4    -5     T
      341  0.7200000E+02  0.10000E+01    2      833    -4    -5     T
      342  0.7300000E+02  0.10000E+01    2      835    -4    -5     T
      343  0.7400000E+02  0.10000E+01    3      838    -4    -5     T
      344  0.7500000E+02  0.10000E+01    2      840    -4    -5     T
      345  0.7600000E+02  0.10000E+01    3      843    -4    -5     T
      346  0.7700000E+02  0.10000E+01    2      845    -4    -5     T
      377  0.7800000E+02  0.74007E-01    3      963    -4    -5     T
      390  0.7900000E+02  0.21151E+00    3      995    -4    -5     T
      394  0.8000000E+02  0.25000E+00    2     1006    -4    -5     T
      396  0.8100000E+02  0.66667E+00    3     1011    -4    -5     T
      409  0.8200000E+02  0.21151E+00    2     1037    -4    -5     T
      424  0.8300000E+02  0.13915E+00    3     1077    -4    -5     T
      437  0.8400000E+02  0.21151E+00    2     1103    -4    -5     T
      450  0.8500000E+02  0.21151E+00    2     1129    -4    -5     T
      453  0.8600000E+02  0.37500E+00    2     1135    -4    -5     T
      455  0.8700000E+02  0.66667E+00    2     1139    -4    -5     T
      457  0.8800000E+02  0.50000E+00    2     1143    -4    -5     T
      458  0.8900000E+02  0.10000E+01    2     1145    -4    -5     T
      471  0.9000000E+02  0.21151E+00    2     1171    -4    -5     T
      484  0.9100000E+02  0.21151E+00    2     1197    -4    -5     T
      497  0.9200000E+02  0.21151E+00    2     1223    -4    -5     T
      510  0.9300000E+02  0.21151E+00    2     1249    -4    -5     T
      523  0.9400000E+02  0.21151E+00    2     1275    -4    -5     T
      526  0.9500000E+02  0.37500E+00    2     1281    -4    -5     T
      528  0.9600000E+02  0.66667E+00    2     1285    -4    -5     T
      541  0.9700000E+02  0.21151E+00    2     1311    -4    -5     T
      544  0.9800000E+02  0.37500E+00    2     1317    -4    -5     T
      546  0.9900000E+02  0.66667E+00    3     1322    -4    -5     T
      548  0.1000000E+03  0.50000E+00    2     1326    -4    -5     T
      549  0.1010000E+03  0.10000E+01    3     1329    -4    -5     T
      550  0.1020000E+03  0.10000E+01    3     1332    -4    -5     T
      551  0.1030000E+03  0.10000E+01    3     1335    -4    -5     T
      552  0.1040000E+03  0.10000E+01    5     1340    -4    -5     T
