 ******* Program HYDRUS
 ******* None                                                                    
 Date:   0.**.    Time: ***:**:**
 Units: L = cm   , T = days , M = mmol 

       Time          rTop        rRoot        vTop         vRoot        vBot       sum(rTop)   sum(rRoot)    sum(vTop)   sum(vRoot)    sum(vBot)      hTop         hRoot        hBot        RunOff    sum(RunOff)     Volume     sum(Infil)    sum(Evap) TLevel Cum(WTrans)  SnowLayer
        [T]         [L/T]        [L/T]        [L/T]        [L/T]        [L/T]         [L]          [L]          [L]         [L]           [L]         [L]           [L]         [L]          [L/T]         [L]          [L]          [L]          [L]

       1.0000 -0.51000E+00  0.14645E-01 -0.51000E+00  0.14645E-01 -0.81922E-02 -0.51000E+00  0.14645E-01 -0.51000E+00  0.14645E-01 -0.81922E-02 -0.26981E+03 -0.40266E+03 -0.50000E+03  0.00000E+00  0.00000E+00  0.13028E+02  0.51000E+00  0.00000E+00     14  0.00000E+00      0.000
       2.0000 -0.20000E-01  0.18425E-01 -0.20000E-01  0.18425E-01 -0.81922E-02 -0.53000E+00  0.33070E-01 -0.53000E+00  0.33070E-01 -0.16384E-01 -0.36529E+03 -0.40201E+03 -0.50000E+03  0.00000E+00  0.93630E-06  0.13021E+02  0.53000E+00  0.00000E+00     27  0.00000E+00      0.000
       3.0000  0.33944E-01  0.31326E-01  0.33944E-01  0.31326E-01 -0.81929E-02 -0.49606E+00  0.64396E-01 -0.49614E+00  0.64396E-01 -0.24577E-01 -0.42636E+03 -0.42399E+03 -0.49998E+03  0.00000E+00  0.93630E-06  0.12951E+02  0.53000E+00  0.33863E-01     30  0.00000E+00      0.000
       4.0000  0.00000E+00  0.27483E-01 -0.20687E-06  0.27483E-01 -0.81973E-02 -0.49606E+00  0.91879E-01 -0.49611E+00  0.91879E-01 -0.32773E-01 -0.43878E+03 -0.43780E+03 -0.49984E+03  0.00000E+00  0.93630E-06  0.12914E+02  0.53000E+00  0.33895E-01     32  0.00000E+00      0.000
       5.0000  0.33578E-01  0.22512E-01  0.33578E-01  0.22512E-01 -0.82103E-02 -0.46248E+00  0.11439E+00 -0.46247E+00  0.11439E+00 -0.40980E-01 -0.48001E+03 -0.45581E+03 -0.49948E+03  0.00000E+00  0.93630E-06  0.12847E+02  0.53000E+00  0.67535E-01     34  0.00000E+00      0.000
       6.0000  0.37131E-01  0.27790E-01  0.36999E-01  0.27790E-01 -0.82344E-02 -0.42535E+00  0.14218E+00 -0.42547E+00  0.14218E+00 -0.49214E-01 -0.51275E+03 -0.47301E+03 -0.49877E+03  0.00000E+00  0.93630E-06  0.12779E+02  0.53000E+00  0.10453E+00     35  0.00000E+00      0.000
       7.0000  0.61359E-01  0.19826E-01  0.61558E-01  0.19826E-01 -0.82706E-02 -0.36399E+00  0.16201E+00 -0.36391E+00  0.16201E+00 -0.57485E-01 -0.57586E+03 -0.49843E+03 -0.49784E+03  0.00000E+00  0.93630E-06  0.12682E+02  0.53000E+00  0.16609E+00     36  0.00000E+00      0.000
       8.0000  0.45805E-01  0.17215E-01  0.45870E-01  0.17215E-01 -0.83104E-02 -0.31818E+00  0.17922E+00 -0.31804E+00  0.17922E+00 -0.65795E-01 -0.59957E+03 -0.51709E+03 -0.49674E+03  0.00000E+00  0.93630E-06  0.12608E+02  0.53000E+00  0.21196E+00     37  0.00000E+00      0.000
